number	author	text	title_in_memoir	year_of_text	citation_or_paraphrase	kind_of_literature	language	situation	performer	audience	place	repeat	person_who_recollects	memoirist	edition	place_of_edition	year_of_edition_min	year_of_edition_max	date_of_situation_min	date_of_situation_max	place_camp	occupation_of_memoirist	link_to_publication
1565	Сакральный текст	Песнь Возрождения	Псалом Возрождение	NA	Цитируют	стихи	иврит	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Прейгерзон Ц.И.	Дневник воспоминаний бывшего лагерника (1949–1955)	Москва	2005	2005	1951	1952	Воркута, Речлаг	Преподаватель	asfcd/auth/?t=page&num=8338
122	Сакральный текст	Сидур	NA	NA	Цитируют	стихи	иврит	чтение книги про себя	заключенный	нет аудитории	в лагере	FALSE	Автор мемуаров	Прейгерзон Ц.И.	Дневник воспоминаний бывшего лагерника (1949–1955)	Москва	2005	2005	1954	1954	Воркута, Воркутлаг	Преподаватель и бухгалтер	asfcd/auth/?t=page&num=8345
1732	Сакральный текст	Символ веры	Верую во единого Бога, Отца — Вседержителя Творца…	NA	Цитируют	стихи	русский	пение блатным	заключенный	блатной	в лагере	FALSE	Заключенные	Польская Е.Б.	Это мы, Господи, пред Тобою…	Невинномысск	1998	1998	1949	1952	Новосибирская обл., Кемеровская обл., Сиблаг	NA	asfcd/auth/?t=page&num=807
755	Сакральный текст	Тропарь Пасхи	Христос воскресе из мертвых...	NA	Цитируют	стихи	русский	пение в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенный	Горшков В.В.	Мне подарили мою жизнь	Москва	2001	2001	1943	1943	Москва, Лубянская тюрьма	Профессор Московского литературного института им. Горького	asfcd/auth/?t=page&num=6184
2405	Сакральный текст	Тропарь Пасхи	Христос воскресе из мёртвых…	NA	Цитируют	песня	русский	пение в кругу равных	заключенный	заключенный	на этапе	FALSE	Заключенные	Улановская Н.М., Улановская М.А.	История одной семьи: Мемуары	Санкт-Петербург	2003	2003	1952	1952	Иркутская обл., Озерлаг, этап	NA	asfcd/auth/?t=book&num=1187
827	Сакральный текст	Тропарь Пасхи	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенные	Адамова-Слиозберг О.Л.	Путь	Москва	1993	1993	1939	1944	Магадан, Маглаг	Конюх	asfcd/auth/?t=page&num=3182
1626	Сакральный текст	Тропарь Пасхи	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в тюремной камере	FALSE	Заключенный	Черных Н.А.	Последний старец : Жизнеописание архимандрита Павла (Груздева)	Ярославль	2004	2004	1950	1950	Самара, пересыльная тюрьма	Священник	asfcd/auth/?t=page&num=5272
201	Сакральный текст	Тропарь Пасхи	Пасха	NA	Цитируют	песня	русский	пение блатными	блатной	заключенный, блатной	в тюремной камере	FALSE	Заключенные	Смирнов В.И.	Народ в тюрьме (1930-1931)	Сергиев Посад	2011	2011	1931	1931	Иваново, Ивановский домзак	NA	asfcd/auth/?t=page&num=13276
1735	Сакральный текст	Тропарь Пасхи	NA	NA	Цитируют	стихи	русский	пение в кругу равных и блатных	заключенный, блатной	заключенный, блатной	в лагере	FALSE	Заключенные	Польская Е.Б.	Это мы, Господи, пред Тобою…	Невинномысск	1998	1998	1949	1952	Новосибирская обл., Кемеровская обл., Сиблаг	NA	asfcd/auth/?t=page&num=792
2288	Сакральный текст	Тропарь Рождества (Рождество твое, Христе Боже наш... )	NA	NA	Цитируют	стихи	русский	рассказ в кругу равных	заключенный	заключенный	в лагере	FALSE	Заключенная	Петрус К.	Узники коммунизма	Москва	1996	1996	1936	1936	Кемеровская обл., Мариинск, Сиблаг	Монахи	asfcd/auth/?t=page&num=3705
